"","ID","sample","Age","domain","propImmediate"
"6751",145,"Original",60,"Social",0.418604651162791
"6821",146,"Original",23,"Health",0.714285714285714
"6831",146,"Original",23,"Money",0.581395348837209
"6841",146,"Original",23,"Social",0.837209302325581
"6911",147,"Original",48,"Health",0.666666666666667
"6921",147,"Original",48,"Money",0.116279069767442
"6931",147,"Original",48,"Social",0.906976744186046
"7001",149,"Original",37,"Health",0.261904761904762
"7011",149,"Original",37,"Money",0.255813953488372
"7021",149,"Original",37,"Social",0.72093023255814
"7091",150,"Original",50,"Health",0.571428571428571
"7101",150,"Original",50,"Money",0.813953488372093
"7111",150,"Original",50,"Social",0.906976744186046
"7181",151,"Original",33,"Health",0.5
"7191",151,"Original",33,"Money",0.069767441860465
"7201",151,"Original",33,"Social",0.511627906976744
"7271",152,"Original",26,"Health",0.595238095238095
"7281",152,"Original",26,"Money",0.581395348837209
"7291",152,"Original",26,"Social",0.604651162790698
"7361",153,"Original",37,"Health",0.619047619047619
"7371",153,"Original",37,"Money",0.72093023255814
"7381",153,"Original",37,"Social",1
"7451",154,"Original",79,"Health",0.547619047619048
"7461",154,"Original",79,"Money",0.186046511627907
"7471",154,"Original",79,"Social",0.558139534883721
"7631",158,"Original",83,"Health",1
"7641",158,"Original",83,"Money",0.093023255813954
"7651",158,"Original",83,"Social",0.116279069767442
"7721",161,"Original",71,"Health",0.571428571428571
"7731",161,"Original",71,"Money",0.627906976744186
"7741",161,"Original",71,"Social",0.674418604651163
"7811",162,"Original",65,"Health",0.904761904761905
"7821",162,"Original",65,"Money",0.906976744186046
"7831",162,"Original",65,"Social",0.953488372093023
"7901",163,"Original",72,"Health",0.976190476190476
"7911",163,"Original",72,"Money",0
"7921",163,"Original",72,"Social",0.953488372093023
"7991",165,"Original",77,"Health",0.952380952380952
"8001",165,"Original",77,"Money",0.837209302325581
"8011",165,"Original",77,"Social",0.906976744186046
"8081",166,"Original",76,"Health",0.738095238095238
"8091",166,"Original",76,"Money",0.279069767441861
"8101",166,"Original",76,"Social",1
"8171",167,"Original",64,"Health",0
"8181",167,"Original",64,"Money",0
"8191",167,"Original",64,"Social",0
"8261",168,"Original",58,"Health",0.738095238095238
"8271",168,"Original",58,"Money",0.651162790697674
"8281",168,"Original",58,"Social",0.651162790697674
